Pressure Vessel,Welded Beam,Three Bar Truss,Multiple Disk,Tubular-Column,Corrugated-Bulkhead
"[20.0, 10.0, 61.89736202172818, 27.701466515047617]","[0.409166842537805, 2.3624988639393343, 5.066552064393575, 0.6544649240734448]","[0.7762913677216587, 0.44445238052025926]","[60.000000000003176, 90.0, 1.0, 112.8036582882491, 2.0]","[6.936564453175891, 0.24590122636482092]","[32.379869239538834, 30.583545597210435, 42.136338967657196, 1.0576414595493746]"
"[17.0, 9.0, 54.34647538407151, 70.82318442717748]","[0.15675016785637752, 5.489461202280504, 6.7187936799862165, 0.37222104355803093]","[0.8125937135261959, 0.34447870161256294]","[60.000000000002984, 90.0, 1.0, 84.74070525197183, 2.0]","[6.991203693656049, 0.24017579640098863]","[53.88669406719308, 34.01071723090311, 52.52067578259252, 1.050000000004356]"
"[17.0, 9.0, 54.61187157588037, 68.23037118974509]","[0.38660872674969493, 2.0967394291809525, 6.532839810711703, 0.39364547489499]","[0.8006344065104728, 0.37543156204442124]","[60.00000000000303, 90.0, 1.0, 26.5391782693274, 2.0]","[7.009026938541309, 0.238353875737185]","[23.400509197398037, 33.60110425771396, 52.66182952598694, 1.0500196547446865]"
"[16.0, 8.0, 51.772812132632744, 88.90240610778878]","[0.20065287324082567, 5.370284195474568, 6.231762025011507, 0.4326010417631504]","[0.7809678116651101, 0.43049670504686166]","[60.00000000000315, 90.0, 1.0, 119.21732872482069, 2.0]","[7.1012304727966695, 0.22921651550052513]","[34.90493707210925, 32.96104963586002, 53.915912208807796, 1.0833405066291022]"
"[14.0, 7.0, 44.77723822219599, 149.46634477633737]","[0.5158529358426001, 1.7916590734693525, 5.665528518049722, 0.5233936194095199]","[0.7892245678804592, 0.40681235413249306]","[64.97072127477149, 90.0, 1.0, 320.55646142304374, 2.2995470948541534]","[7.11155376340317, 0.2287802752199317]","[25.164208343567914, 29.5142820144858, 39.191512590700796, 1.0665460271246814]"
"[17.0, 9.0, 53.360119946042715, 74.87907980806742]","[0.125, 8.342987753845295, 9.062436081465002, 0.2045723400797963]","[0.7705798253390524, 0.46199698724295557]","[61.29423367625276, 90.0, 1.0, 6.982918561630766, 2.0]","[6.74652736454565, 0.26717358765693383]","[42.81448227141352, 38.09172188411145, 54.465186044603854, 1.0500489367766006]"
"[15.0, 8.0, 48.372325625991536, 115.64950649775982]","[0.16742034756618798, 6.070924579108599, 8.304646998478274, 0.2435941920587499]","[0.809880535962471, 0.3513506889848156]","[60.00000000000319, 90.0, 1.0, 52.612006835792656, 2.0]","[7.106981908802073, 0.228919540444935]","[41.99613040953146, 34.04091789774813, 53.436628783339394, 1.050000000063296]"
"[17.0, 9.0, 54.35693455909116, 68.79429642837997]","[0.1885219202280245, 4.845442925105127, 5.7678492476704815, 0.5050520401171649]","[0.7847047360109095, 0.4196380410891839]","[60.000000000003084, 90.0, 1.0, 155.69958271805626, 2.0]","[7.102896845952178, 0.229054817344985]","[51.4168537045036, 32.08217687467375, 47.61358207624461, 1.0662165155985595]"
"[17.0, 9.0, 55.0505916060269, 67.50435123605874]","[0.23832631886256447, 3.5249446488075935, 6.816563187278508, 0.3615583533708549]","[0.78150017980621, 0.42893039844303044]","[60.0000000000032, 90.0, 1.0, 252.75516536594955, 2.0]","[7.053403069551528, 0.23389785682066394]","[19.976225804408454, 33.41723220600513, 54.77593257875173, 1.079068509180444]"
"[16.0, 8.0, 51.31032879789107, 88.3027773944706]","[0.125, 6.021704115387192, 9.027499357945135, 0.206145734178667]","[0.7767104485313828, 0.44318709105230786]","[60.00000000000324, 90.0, 1.0, 102.82244612470714, 2.0]","[7.204622683581472, 0.22584733464188425]","[30.148258731298167, 34.16886873463642, 57.91934274181172, 1.0535417467722628]"
"[19.0, 10.0, 60.67848698494239, 35.5885051996987]","[0.125, 6.102866317779953, 8.93233771581126, 0.210565466115707]","[0.8068106399916128, 0.3592273597186012]","[60.00000000000307, 90.0, 1.0, 144.60322685422364, 2.0]","[7.255689805450079, 0.2242263988226776]","[26.365700257122157, 29.34418828649711, 38.132887135192156, 1.053116236277482]"
"[20.0, 10.0, 63.66735175836541, 21.436200826445116]","[0.5510343733767606, 1.548221264221743, 5.642104096397886, 0.5531927261085827]","[0.7866664362624909, 0.41397483012267056]","[60.00000000000316, 90.0, 1.0, 234.7420779536172, 2.0]","[7.151552360181745, 0.22749147515283522]","[56.62679829956869, 33.28443191295288, 54.056491319082085, 1.069434241066656]"
