Pressure Vessel,Welded Beam,Three Bar Truss,Multiple Disk,Tubular-Column,Corrugated-Bulkhead
"[19.0, 10.0, 61.52849155075394, 26.930918276078557]","[0.2350539179402278, 2.9459127404963947, 8.454168337221768, 0.23505392062736932]","[0.786324090988027, 0.4149391006559806]","[70.0, 90.0, 1.0, 302.63818160804743, 2.0]","[7.102974757880887, 0.22904730081511138]","[57.69235119874752, 34.147187115749006, 57.68963358431393, 1.050000678707452]"
"[17.0, 9.0, 55.051808486874926, 62.7144570116919]","[0.12501406520286057, 5.567327195749152, 9.192103561867201, 0.19883209044640357]","[0.7888741154154931, 0.4076857813366912]","[70.0, 90.0, 1.0, 7.290923670145341, 2.0]","[7.102974757880157, 0.229047300815183]","[57.691696867504476, 34.126902346111734, 57.562019577083554, 1.0500022207786206]"
"[26.0, 10.0, 65.22523261323124, 10.000000001163171]","[0.37747291298163355, 2.115658495953391, 6.578565547002719, 0.3882431141528249]","[0.7886971506907761, 0.4081860687904592]","[70.0, 90.0, 1.0, 41.07841366591068, 2.0]","[7.10297475788088, 0.22904730081511207]","[57.69230758610521, 34.113074688316914, 57.474835409390124, 1.0500000004912748]"
"[18.0, 9.0, 58.07112237827578, 44.9023193759566]","[0.19942912016876588, 3.329860660252847, 9.178274386903514, 0.1994291646465252]","[0.78561762339814, 0.4169658102813726]","[70.00000000004832, 90.00000000004832, 1.0, 198.75954368687889, 2.0]","[7.102974757880925, 0.22904730081511052]","[57.692307692038256, 34.14584997262862, 57.681145074530335, 1.050000000000035]"
"[19.0, 10.0, 61.528497315413475, 26.930889706183738]","[0.17105378770366966, 3.951056606610215, 9.192024284637673, 0.1988323088665651]","[0.7899346174801744, 0.40469754121233087]","[70.00000000000246, 90.00000000000246, 1.000000000038737, 301.78324503752617, 2.000000000000235]","[7.102974757880077, 0.22904730081518962]","[57.3378007859988, 34.14471823616241, 57.69230657475495, 1.0500000000000764]"
"[19.0, 9.0, 58.9622634122037, 40.044329543152585]","[0.2374406606582582, 2.923996433544428, 8.411534831693096, 0.237444423164083]","[0.7887886456561275, 0.4079273273451354]","[70.0, 90.0, 1.0, 106.2944683667657, 2.0]","[7.102974757878839, 0.22904730081532224]","[57.48131288703226, 34.145853697575625, 57.69286168147971, 1.0500086422439714]"
"[20.0, 10.0, 64.76683798055366, 11.988640147907926]","[0.25446679173118375, 2.873060772221806, 8.081857086403895, 0.25723532212773276]","[0.7882214695364125, 0.40953296381090976]","[70.0, 90.0, 1.0, 64.10935011695467, 2.0]","[7.102974757880946, 0.2290473008151094]","[57.692227184462986, 34.14413061687357, 57.6703102552229, 1.050000000776616]"
"[14.0, 9.0, 45.33678652691644, 140.25385752761525]","[0.1413699100736942, 4.875925297317704, 9.19202467807504, 0.19883230575517272]","[0.7859421196643407, 0.41603417041674645]","[70.00000000046518, 90.00000000047248, 1.0000000000000042, 474.3095784921795, 2.000000000000007]","[7.102974757880783, 0.22904730081513877]","[57.69243525815186, 34.147613309637315, 57.692432832913006, 1.050001995191858]"
"[17.0, 9.0, 55.05179128286055, 62.71456489559114]","[0.1991969981316462, 3.3310246774755963, 9.190030598903792, 0.19920044562258035]","[0.7895115361026664, 0.405913421349052]","[70.0, 90.0, 1.0, 41.968319113971134, 2.0]","[7.1029747578800935, 0.22904730081519112]","[57.692270539663475, 34.128784912966665, 57.57364621125899, 1.0500000002640164]"
"[17.0, 8.0, 52.41090123226434, 80.29872003281393]","[0.12535338964066478, 5.550272503009057, 9.194918348609136, 0.19882183304274692]","[0.78583081243775, 0.41635350538789995]","[70.0, 90.0, 1.0, 348.8125769477856, 2.0]","[7.102974757856759, 0.22904730081751523]","[57.692373563510955, 34.11187505086378, 57.467384497950015, 1.0500010414309469]"
"[20.0, 10.0, 64.76663500850152, 11.989527096064885]","[0.31770960301110057, 2.3611741814615277, 7.271755874987934, 0.3177099076192381]","[0.7876840784979826, 0.41107394072315867]","[70.0, 90.0, 1.0, 533.7226786042291, 2.0]","[7.10297475788089, 0.22904730081511113]","[57.69258630392536, 34.14760589022993, 57.69258569604595, 1.0500043517064928]"
"[19.0, 10.0, 61.52849699578908, 26.930891504142526]","[0.28346001388921216, 2.566545057512385, 7.69851173530141, 0.2834626090852444]","[0.7879501513431104, 0.41030276761409995]","[70.0, 90.0, 1.0, 525.3961792903197, 2.0]","[7.10297475788089, 0.22904730081511113]","[57.69209374575952, 34.14761793880182, 57.69231839444764, 1.0500001669807741]"
"[22.0, 10.0, 65.22523261350128, 10.0]","[0.23230202937293024, 2.984694014002503, 8.458669701433521, 0.2348038494016987]","[0.7884841160896964, 0.40878884134995924]","[70.0, 90.0, 1.0, 606.9453093921757, 2.0]","[7.10297475788089, 0.22904730081511113]","[57.66655113380219, 33.90324157916081, 56.17094729126115, 1.0500000000232845]"
"[20.0, 10.0, 64.75347003924283, 12.047115188498]","[0.14764533909138086, 4.649840256767804, 9.192024234787038, 0.19883231107518967]","[0.7885274687396739, 0.4086866355443844]","[70.00000000000004, 90.00000000000004, 1.0, 299.2526269466318, 2.0]","[7.102974757880565, 0.22904730081514282]","[57.69412536432416, 34.147509419965274, 57.694406218604335, 1.0500327371174498]"
"[17.0, 9.0, 55.03620694210174, 62.812450643901535]","[0.3779806356531802, 2.080916368155329, 6.666427335009504, 0.37803305272416143]","[0.7888221656660583, 0.4078325889763143]","[70.0, 90.0, 1.0, 21.93447500731749, 2.0]","[7.102974757880323, 0.2290473008151671]","[57.69233380577974, 34.14761743275796, 57.69232390664378, 1.0500004074554183]"
"[18.0, 9.0, 58.29011635362223, 43.69287682381782]","[0.17207922554173688, 3.9247969667619977, 9.19202640205739, 0.19883229748606446]","[0.7874051850435512, 0.41185229497338033]","[70.0, 90.0, 1.0, 309.3506691736794, 2.0]","[7.102974757880982, 0.229047300815109]","[57.69230767855583, 34.128305416736424, 57.57062236231793, 1.0500000000672134]"
"[15.0, 8.0, 48.558733052534585, 110.20764567279763]","[0.12500548818342896, 5.567765468973151, 9.192018906731542, 0.19883254152026747]","[0.7877658147258421, 0.41082686615876585]","[70.0, 90.0, 1.0, 246.50606838244468, 2.0]","[7.102974757879464, 0.22904730081525146]","[53.00500291024989, 34.11330343741661, 57.689106892847605, 1.0500000000013763]"
"[18.0, 9.0, 58.290150255635695, 43.6926930948215]","[0.20544719625007857, 3.2564677918509273, 9.04283320104797, 0.20544723472527135]","[0.7894195091585041, 0.4061469427468067]","[70.0, 90.0, 1.0, 14.028823219225474, 2.0]","[7.10297475788089, 0.22904730081511113]","[57.6923054708739, 34.14732767665211, 57.690462313345485, 1.0500000000019554]"
