Pressure Vessel,Welded Beam,Three Bar Truss,Multiple Disk,Tubular-Column,Corrugated-Bulkhead
"[19.0, 9.0, 58.95849334742621, 40.06825078774474]","[0.19399386088830597, 3.4317065741350494, 9.192159315205428, 0.19883216734476689]","[0.7883321820337028, 0.4092191721191691]","[70.0, 90.0, 1.0, 485.05510668059344, 2.0]","[7.102929708065203, 0.22905471764163496]","[57.31602934015758, 34.14611912085479, 57.689079541639686, 1.0500137931959257]"
"[15.0, 8.0, 48.56969486040263, 110.1162256299711]","[0.195753966177177, 3.397044863791201, 9.191663185821056, 0.1988781236839795]","[0.7886572205526063, 0.4082989633697102]","[70.0, 90.0, 1.0, 783.6844337903676, 2.0]","[7.102996397099738, 0.22904666534881457]","[57.64996892998624, 34.146760295696716, 57.692217861472514, 1.0500389057749846]"
"[18.0, 9.0, 58.28959715788679, 43.70192928134962]","[0.19642005799247275, 3.3878691559106615, 9.19181157522915, 0.19885022006645275]","[0.7887995688630141, 0.40789662406691246]","[69.99999990635368, 90.0, 1.0, 396.5460602773055, 2.0]","[7.102992967190276, 0.22904671362999626]","[57.691023759955016, 34.147379067875924, 57.68821336415819, 1.0500039284183842]"
"[14.0, 7.0, 45.33573734931702, 140.26507363950455]","[0.13749085895094312, 5.02961178276024, 9.192276854090387, 0.19883199266736942]","[0.7886403572084891, 0.4083466951920466]","[70.00001024219978, 90.00001024219978, 1.0000000368744375, 266.15759386974537, 2.0000000347240934]","[7.1030166714627505, 0.22904782950968705]","[57.6840533742937, 34.14094246789289, 57.64879628922653, 1.0500194503847802]"
"[15.0, 8.0, 48.56817593114267, 110.12811799332472]","[0.1975734136389705, 3.3613359902353923, 9.192017340874635, 0.19883274844384974]","[0.789386881113892, 0.4062388807579784]","[70.0, 90.0, 1.0, 384.3149166130075, 2.0]","[7.102966230765684, 0.22904959677911974]","[57.691289548407894, 34.13940617628003, 57.637718643478, 1.0500034401168954]"
"[16.0, 8.0, 51.81286676179366, 84.58760267786818]","[0.19851738284814058, 3.343512624003673, 9.191921439708285, 0.198842392241251]","[0.7888391086415258, 0.40778469929537525]","[70.0, 90.0, 1.0, 547.9218971445387, 2.0]","[7.102976039019306, 0.22904733598911872]","[50.68434613150274, 34.100070949884035, 57.69241978508575, 1.050078750727305]"
"[15.0, 8.0, 48.57487586625731, 110.07299991117456]","[0.1762794651439589, 3.823840439694754, 9.192203644973745, 0.1988413362122844]","[0.7880616715855454, 0.40998619726864016]","[70.0, 90.0, 1.0, 535.7082143059675, 2.0]","[7.102990909559377, 0.22904795373334305]","[57.20798089996149, 34.14372242086587, 57.69073511720179, 1.0500516815479364]"
"[16.0, 8.0, 51.81346152811224, 84.57860087347646]","[0.15357473303899274, 4.454145079130502, 9.191924179144749, 0.19883863169000024]","[0.7889441154382613, 0.40748802892213176]","[70.0, 90.0, 1.0, 672.7347868082293, 2.0]","[7.102969192518771, 0.22904797279680603]","[57.502622426225486, 34.161999865613474, 57.69644156808789, 1.0500911779721918]"
"[16.0, 8.0, 51.80993542615448, 84.60460155907705]","[0.14640870896641617, 4.692120518382763, 9.19742764106341, 0.19882929882053826]","[0.7880535405837488, 0.4100092692473176]","[70.0, 90.0, 1.0, 590.0031994784792, 2.0]","[7.102974917281091, 0.22904730214706615]","[57.5440450054994, 34.14046361220827, 57.64898971560832, 1.0500050727853583]"
"[15.0, 8.0, 48.57511873409533, 110.06783213819766]","[0.19862694078145243, 3.3415630398990186, 9.193084856964683, 0.19883047748794044]","[0.7890977362068198, 0.40705430334012]","[70.00000000100201, 90.00000000100201, 1.00000000007076, 612.5239343688575, 2.0000000000038454]","[7.102915248188117, 0.2290531493187743]","[57.56678556065704, 34.15073619197792, 57.68538410318152, 1.0500100796120166]"
"[15.0, 8.0, 48.57291760183774, 110.0918868043698]","[0.19834450694812067, 3.348340982910139, 9.192429326572901, 0.1988382233533786]","[0.7886891946030764, 0.40820859675305965]","[70.0, 90.0, 1.0, 384.43342123103315, 2.0]","[7.102978584972563, 0.22904883208009139]","[49.834446976690636, 34.097425803493536, 57.68779705891971, 1.0500024859249528]"
"[15.0, 8.0, 48.57301979837031, 110.10978593340595]","[0.19730293877555688, 3.3631313015506157, 9.206515083002481, 0.1987836521045844]","[0.788900869103821, 0.407610191015454]","[69.99999112593846, 90.0, 1.0, 435.35284016038696, 2.0]","[7.103001716939799, 0.2290484554304224]","[57.453635277128036, 34.14704616549562, 57.68980386715207, 1.0500015800333273]"
