Pressure Vessel,Welded Beam,Three Bar Truss,Multiple Disk,Tubular-Column,Corrugated-Bulkhead
"[20.0, 10.0, 64.76655365650424, 11.990171526299413]","[0.19896801195103395, 3.35272308954183, 9.149127091746026, 0.20117475207424423]","[0.7889722913452828, 0.4074110221472482]","[69.9999992719845, 90.00000119549446, 1.0, 992.4856595770256, 2.0]","[7.102878063291378, 0.22905700783159]","[57.67879507701711, 34.141767340895434, 57.662759871742146, 1.050075431093367]"
"[17.0, 8.0, 52.410592120147705, 80.30104905932996]","[0.17952259159879555, 3.740887547648721, 9.202319752534322, 0.19879460556510786]","[0.7908475985832004, 0.40214205546010995]","[69.999984869953, 90.0, 1.0, 412.1609117489584, 2.0]","[7.103016777966569, 0.22905078019797323]","[57.663609471926854, 33.673325021983764, 54.76362057380964, 1.0500019702394061]"
"[20.0, 10.0, 64.76637835889868, 11.990749015172337]","[0.1968038757797352, 3.3785582107850174, 9.192613305728042, 0.19883075494842842]","[0.7876631964853148, 0.41113712922167095]","[69.99999905008025, 90.0, 1.0, 423.4494763251993, 2.0]","[7.102945146993787, 0.2290524031195672]","[54.450677784249265, 34.12406867255327, 57.695069198731936, 1.0500911043400467]"
"[18.0, 9.0, 58.281457954636146, 43.74161330567472]","[0.19488089498669137, 3.4193921844075477, 9.19335329393143, 0.19882944003193564]","[0.7890778386305712, 0.40711051630969886]","[71.82636432202337, 91.82723782975611, 1.0, 951.9978334499743, 2.0]","[7.10289532238153, 0.22905865486658006]","[57.69664806478974, 33.927272406462855, 55.31790839324854, 1.0501021164489985]"
"[15.0, 7.0, 45.85944751548641, 135.00877042338706]","[0.17243481516716017, 3.916228764374984, 9.202023152172965, 0.19881786920479347]","[0.7888929581891451, 0.4076342311719292]","[69.99999386707822, 90.0, 1.0, 587.5105267777419, 2.0]","[7.102933185457591, 0.22905285079535742]","[57.659457672664075, 34.14626384465867, 57.68386404273465, 1.0500172468667242]"
"[15.0, 8.0, 48.5744128049781, 110.07402301285639]","[0.18020899925924708, 3.6492851908812862, 9.633763126917115, 0.19694306538663134]","[0.7889509466404161, 0.4074687977559223]","[70.00004882089337, 90.00005412011967, 1.0, 415.9576305010427, 2.0]","[7.102908583504967, 0.22905697562905214]","[57.68669233552132, 34.11133276790786, 57.45450765685208, 1.0500050687999887]"
"[16.0, 8.0, 51.811974882815264, 84.59147559496546]","[0.21315729437002115, 3.181024972366365, 8.878260201406533, 0.21327808691888553]","[0.7886568498444116, 0.408301609128694]","[70.3831640664679, 90.38322314358064, 1.0, 913.6421348201965, 2.0]","[7.102931308183925, 0.22905362589205205]","[57.67918551076884, 34.07260042749197, 57.22313728946981, 1.0500927179446864]"
"[20.0, 10.0, 64.76656668053928, 11.990192919146951]","[0.2201316555644429, 3.0948093860367836, 8.73771666104324, 0.22015673691212642]","[0.789081658698186, 0.40710114976631795]","[69.99999801097991, 90.0, 1.0, 265.5169895193256, 2.0]","[7.102901410129856, 0.22905511662651123]","[57.687969660481905, 33.93524073890905, 56.35883523131736, 1.050027566548326]"
"[15.0, 8.0, 48.57466987595705, 110.07226214237417]","[0.19344691453907303, 3.457948168975035, 9.19013044896089, 0.19891673470554308]","[0.7885210836961899, 0.4086854063531694]","[71.59903815851416, 91.59930305579586, 1.0, 62.701810578743064, 2.0]","[7.1030330371111905, 0.22904583621612998]","[59.81337947214793, 34.029226952292184, 59.901075005281285, 1.0845058923603317]"
"[16.0, 8.0, 51.79405455944045, 84.73479087514214]","[0.1984410158615331, 3.332763129112372, 9.236391579157768, 0.1986455694905707]","[0.7874762346514734, 0.41165015659020593]","[69.99999908151226, 90.0, 1.0, 801.7183570032646, 2.0]","[7.1030516488098865, 0.22904644467832339]","[55.55735196470771, 34.129498616279065, 57.68204617014196, 1.0500186816419923]"
